
﻿Ticker,close,date,high,low,month,open,volume,Daily_Return,Cumulative_return,sector
TECHM,1225.2,12/6/2023 5:30,1247.0,1218.65,2023-12,1223.0,2637916,0.003768638,0.007400099,SOFTWARE
TECHM,1223.25,12/7/2023 5:30,1231.0,1220.1,2023-12,1226.0,1076885,-0.001591577,0.005796744,SOFTWARE
TECHM,1225.3,12/8/2023 5:30,1237.95,1217.25,2023-12,1230.0,2642571,0.001675863,0.007482322,SOFTWARE
TECHM,1233.3,12/11/2023 5:30,1240.5,1225.3,2023-12,1231.0,1558876,0.006529013,0.014060187,SOFTWARE
TECHM,1226.15,12/12/2023 5:30,1245.0,1218.65,2023-12,1237.95,1114846,-0.005797454,0.00818122,SOFTWARE
TECHM,1216.1,12/13/2023 5:30,1233.95,1197.05,2023-12,1226.0,3025706,-0.008196387,-8.22e-05,SOFTWARE
TECHM,1264.7,12/14/2023 5:30,1269.8,1230.15,2023-12,1235.0,5287733,0.039963819,0.039878309,SOFTWARE
TECHM,1306.1,12/15/2023 5:30,1324.8,1262.5,2023-12,1270.0,5900381,0.032735036,0.073918763,SOFTWARE
TECHM,1291.75,12/18/2023 5:30,1333.05,1286.45,2023-12,1305.0,2671348,-0.010986908,0.062119717,SOFTWARE
TECHM,1281.45,12/19/2023 5:30,1300.95,1269.2,2023-12,1300.0,1717860,-0.007973679,0.053650715,SOFTWARE
TECHM,1248.6,12/20/2023 5:30,1314.0,1238.2,2023-12,1291.0,2860865,-0.025635023,0.026640355,SOFTWARE
TECHM,1250.1,12/21/2023 5:30,1258.55,1226.0,2023-12,1232.0,3337533,0.001201346,0.027873705,SOFTWARE
TECHM,1275.15,12/22/2023 5:30,1280.9,1242.5,2023-12,1260.0,2297352,0.020038397,0.048470646,SOFTWARE
TECHM,1282.0,12/26/2023 5:30,1288.75,1260.55,2023-12,1275.0,1720830,0.005371917,0.054102944,SOFTWARE
TECHM,1280.15,12/27/2023 5:30,1291.5,1267.25,2023-12,1287.9,1584695,-0.001443058,0.052581812,SOFTWARE
TECHM,1285.95,12/28/2023 5:30,1289.0,1270.55,2023-12,1285.0,2284964,0.004530719,0.057350765,SOFTWARE
TECHM,1272.65,12/29/2023 5:30,1291.95,1268.1,2023-12,1285.95,1187193,-0.010342548,0.046415063,SOFTWARE
TECHM,1297.15,1/1/2024 5:30,1303.8,1265.25,2024-01,1273.0,1776828,0.019251169,0.066559776,SOFTWARE
TECHM,1278.1,1/2/2024 5:30,1299.1,1272.85,2024-01,1298.0,1615064,-0.014686042,0.050896234,SOFTWARE
TECHM,1244.2,1/3/2024 5:30,1274.0,1240.0,2024-01,1265.0,2231707,-0.026523746,0.023022529,SOFTWARE
TECHM,1247.5,1/4/2024 5:30,1254.7,1231.7,2024-01,1250.1,3355191,0.002652307,0.025735899,SOFTWARE
TECHM,1248.3,1/5/2024 5:30,1271.85,1245.55,2024-01,1254.9,1756868,0.000641283,0.026393685,SOFTWARE
TECHM,1228.95,1/8/2024 5:30,1254.25,1221.4,2024-01,1250.2,1320667,-0.015501081,0.010483473,SOFTWARE
TECHM,1235.65,1/9/2024 5:30,1251.2,1232.6,2024-01,1240.55,994439,0.005451808,0.015992435,SOFTWARE
TECHM,1240.9,1/10/2024 5:30,1246.45,1228.3,2024-01,1236.5,808638,0.004248776,0.02030916,SOFTWARE
TECHM,1249.4,1/11/2024 5:30,1261.8,1240.9,2024-01,1240.9,930492,0.006849867,0.027298142,SOFTWARE
TECHM,1308.05,1/12/2024 5:30,1311.75,1267.0,2024-01,1271.8,5023455,0.046942532,0.075522118,SOFTWARE
TECHM,1337.65,1/15/2024 5:30,1401.5,1333.85,2024-01,1335.0,6012767,0.022629104,0.09986022,SOFTWARE
TECHM,1320.4,1/16/2024 5:30,1332.2,1310.5,2024-01,1330.1,1883106,-0.01289575,0.085676698,SOFTWARE
TECHM,1326.75,1/17/2024 5:30,1334.5,1305.25,2024-01,1306.0,2313059,0.004809149,0.090897879,SOFTWARE
TECHM,1355.15,1/18/2024 5:30,1369.5,1306.0,2024-01,1326.7,4533782,0.021405691,0.114249301,SOFTWARE
TECHM,1389.9,1/19/2024 5:30,1397.85,1355.0,2024-01,1373.9,4463826,0.025642918,0.142821904,SOFTWARE
TECHM,1385.6,1/20/2024 5:30,1406.2,1376.0,2024-01,1405.0,1001018,-0.003093748,0.139286302,SOFTWARE
TECHM,1366.65,1/23/2024 5:30,1416.3,1356.75,2024-01,1396.5,2683661,-0.013676386,0.123704983,SOFTWARE
TECHM,1407.95,1/24/2024 5:30,1410.5,1365.55,2024-01,1372.95,2008135,0.030219881,0.157663213,SOFTWARE
TECHM,1322.05,1/25/2024 5:30,1356.35,1312.05,2024-01,1348.0,8424862,-0.061010689,0.087033383,SOFTWARE
TECHM,1314.35,1/29/2024 5:30,1338.0,1311.0,2024-01,1338.0,2495791,-0.005824288,0.080702187,SOFTWARE
TECHM,1317.85,1/30/2024 5:30,1340.95,1315.0,2024-01,1323.95,2293154,0.002662913,0.083580003,SOFTWARE
TECHM,1333.65,1/31/2024 5:30,1336.0,1312.3,2024-01,1318.1,1798462,0.011989225,0.096571288,SOFTWARE
TECHM,1312.5,2/1/2024 5:30,1336.35,1309.75,2024-02,1330.0,2286420,-0.015858734,0.079181056,SOFTWARE
TECHM,1338.1,2/2/2024 5:30,1354.0,1323.05,2024-02,1323.5,1838847,0.019504762,0.100230225,SOFTWARE
TECHM,1332.75,2/5/2024 5:30,1353.1,1328.0,2024-02,1345.8,953919,-0.003998206,0.095831278,SOFTWARE
TECHM,1351.05,2/6/2024 5:30,1362.4,1328.1,2024-02,1330.0,2713529,0.013731007,0.110878145,SOFTWARE
TECHM,1318.0,2/7/2024 5:30,1358.7,1314.05,2024-02,1351.5,2004588,-0.024462455,0.083703338,SOFTWARE
TECHM,1309.25,2/8/2024 5:30,1329.65,1302.0,2024-02,1326.0,2308756,-0.006638847,0.076508798,SOFTWARE
TECHM,1311.05,2/9/2024 5:30,1321.45,1305.95,2024-02,1317.0,1085349,0.001374833,0.077988818,SOFTWARE
TECHM,1318.8,2/12/2024 5:30,1331.0,1311.1,2024-02,1318.4,1149683,0.005911292,0.084361125,SOFTWARE
TECHM,1328.45,2/13/2024 5:30,1334.8,1300.0,2024-02,1321.95,1127361,0.007317258,0.092295675,SOFTWARE
TECHM,1292.9,2/14/2024 5:30,1319.95,1282.65,2024-02,1310.0,3426103,-0.02676051,0.063065285,SOFTWARE
TECHM,1300.35,2/15/2024 5:30,1308.0,1291.55,2024-02,1304.7,1703763,0.00576224,0.069190923,SOFTWARE
TECHM,1302.55,2/16/2024 5:30,1309.2,1298.0,2024-02,1305.1,1994659,0.001691852,0.070999836,SOFTWARE
TECHM,1310.0,2/19/2024 5:30,1318.0,1287.45,2024-02,1302.95,1496111,0.00571955,0.077125473,SOFTWARE
TECHM,1320.55,2/20/2024 5:30,1323.65,1302.0,2024-02,1310.0,2113200,0.008053435,0.085800033,SOFTWARE
TECHM,1296.6,2/21/2024 5:30,1325.0,1292.2,2024-02,1320.0,1769508,-0.018136383,0.066107548,SOFTWARE
TECHM,1328.1,2/22/2024 5:30,1330.5,1299.35,2024-02,1307.0,2201424,0.024294308,0.092007893,SOFTWARE
TECHM,1322.25,2/23/2024 5:30,1342.55,1316.3,2024-02,1338.9,1660506,-0.004404789,0.087197829,SOFTWARE
TECHM,1298.25,2/26/2024 5:30,1324.9,1295.0,2024-02,1322.25,1196507,-0.018150879,0.067464233,SOFTWARE
TECHM,1296.05,2/27/2024 5:30,1305.05,1283.7,2024-02,1295.0,1488661,-0.001694589,0.06565532,SOFTWARE
TECHM,1285.85,2/28/2024 5:30,1306.05,1271.0,2024-02,1302.0,1289779,-0.007870067,0.057268541,SOFTWARE
TECHM,1273.85,2/29/2024 5:30,1285.2,1264.25,2024-02,1280.0,2251498,-0.009332348,0.047401743,SOFTWARE
TECHM,1271.8,3/1/2024 5:30,1287.0,1268.0,2024-03,1287.0,1560034,-0.001609295,0.045716165,SOFTWARE
TECHM,1272.5,3/2/2024 5:30,1282.0,1271.0,2024-03,1278.0,217683,0.000550401,0.046291728,SOFTWARE
TECHM,1280.05,3/4/2024 5:30,1285.5,1270.1,2024-03,1275.6,1843831,0.005933202,0.052499589,SOFTWARE
TECHM,1272.5,3/5/2024 5:30,1279.9,1259.1,2024-03,1274.9,1420379,-0.005898207,0.046291728,SOFTWARE
TECHM,1271.0,3/6/2024 5:30,1274.35,1250.1,2024-03,1267.5,2064350,-0.001178782,0.045058379,SOFTWARE
TECHM,1288.15,3/7/2024 5:30,1293.1,1265.55,2024-03,1275.0,2073691,0.013493312,0.059159678,SOFTWARE
TECHM,1289.0,3/11/2024 5:30,1296.3,1275.5,2024-03,1288.15,1577732,0.000659861,0.059858576,SOFTWARE
TECHM,1292.3,3/12/2024 5:30,1307.65,1277.7,2024-03,1295.0,1963068,0.002560124,0.062571945,SOFTWARE
TECHM,1277.2,3/13/2024 5:30,1299.4,1266.3,2024-03,1292.3,2001399,-0.011684593,0.050156224,SOFTWARE
TECHM,1293.35,3/14/2024 5:30,1297.45,1258.05,2024-03,1272.0,2129097,0.012644848,0.06343529,SOFTWARE
TECHM,1282.2,3/15/2024 5:30,1293.0,1268.5,2024-03,1293.0,2499025,-0.008621023,0.05426739,SOFTWARE
TECHM,1272.65,3/18/2024 5:30,1287.45,1268.05,2024-03,1282.0,630807,-0.007448136,0.046415063,SOFTWARE
TECHM,1252.25,3/19/2024 5:30,1272.65,1248.9,2024-03,1270.0,1243420,-0.016029545,0.029641506,SOFTWARE
TECHM,1264.3,3/20/2024 5:30,1272.0,1247.0,2024-03,1252.0,1139621,0.009622679,0.039549416,SOFTWARE
TECHM,1282.75,3/21/2024 5:30,1287.45,1270.65,2024-03,1275.0,1420041,0.014593055,0.054719618,SOFTWARE
TECHM,1262.65,3/22/2024 5:30,1279.9,1236.1,2024-03,1258.5,2990908,-0.01566946,0.038192731,SOFTWARE
TECHM,1254.35,3/26/2024 5:30,1271.6,1251.0,2024-03,1262.25,2144358,-0.006573476,0.031368196,SOFTWARE
TECHM,1253.8,3/27/2024 5:30,1263.15,1246.55,2024-03,1258.0,2128854,-0.000438474,0.030915968,SOFTWARE
TECHM,1248.1,3/28/2024 5:30,1264.95,1242.0,2024-03,1260.0,2436133,-0.00454618,0.026229239,SOFTWARE
TECHM,1244.55,4/1/2024 5:30,1261.15,1242.0,2024-04,1252.1,1397037,-0.002844323,0.023310311,SOFTWARE
TECHM,1236.8,4/2/2024 5:30,1251.95,1235.1,2024-04,1244.0,1320357,-0.00622715,0.016938004,SOFTWARE
TECHM,1255.15,4/3/2024 5:30,1263.0,1240.0,2024-04,1240.0,1819093,0.014836675,0.032025983,SOFTWARE
TECHM,1279.25,4/4/2024 5:30,1289.0,1246.9,2024-04,1260.0,2460669,0.019200892,0.051841802,SOFTWARE
TECHM,1263.4,4/5/2024 5:30,1275.95,1260.2,2024-04,1275.0,1184658,-0.012390072,0.038809406,SOFTWARE
TECHM,1265.15,4/8/2024 5:30,1270.0,1256.1,2024-04,1270.0,686932,0.001385151,0.040248314,SOFTWARE
TECHM,1251.4,4/9/2024 5:30,1281.0,1242.75,2024-04,1265.1,1198161,-0.010868276,0.028942608,SOFTWARE
TECHM,1266.3,4/10/2024 5:30,1273.45,1252.0,2024-04,1260.45,1994380,0.011906665,0.041193883,SOFTWARE
TECHM,1242.1,4/12/2024 5:30,1269.75,1238.0,2024-04,1264.95,2887322,-0.019110795,0.02129584,SOFTWARE
TECHM,1218.75,4/15/2024 5:30,1240.65,1211.0,2024-04,1235.0,2153147,-0.018798808,0.002096695,SOFTWARE
TECHM,1195.8,4/16/2024 5:30,1213.15,1191.0,2024-04,1205.0,2085459,-0.018830769,-0.016773557,SOFTWARE
TECHM,1179.65,4/18/2024 5:30,1207.85,1176.05,2024-04,1199.55,3242357,-0.013505603,-0.030052623,SOFTWARE
TECHM,1193.65,4/19/2024 5:30,1204.85,1162.95,2024-04,1163.05,2572144,0.011867927,-0.018541358,SOFTWARE
TECHM,1208.05,4/22/2024 5:30,1216.7,1195.1,2024-04,1196.1,1364143,0.012063838,-0.0067012,SOFTWARE
TECHM,1200.25,4/23/2024 5:30,1218.0,1198.8,2024-04,1218.0,1460983,-0.006456686,-0.013114619,SOFTWARE
TECHM,1185.7,4/24/2024 5:30,1207.95,1181.5,2024-04,1207.95,1375843,-0.012122474,-0.025078112,SOFTWARE
TECHM,1190.3,4/25/2024 5:30,1193.55,1172.8,2024-04,1185.0,3357065,0.003879565,-0.02129584,SOFTWARE
TECHM,1278.75,4/26/2024 5:30,1347.0,1241.0,2024-04,1250.0,20431926,0.074308998,0.051430686,SOFTWARE
TECHM,1288.3,4/29/2024 5:30,1311.0,1285.0,2024-04,1290.0,4120529,0.007468231,0.059283013,SOFTWARE
TECHM,1263.5,4/30/2024 5:30,1291.1,1260.05,2024-04,1288.3,2613213,-0.019250175,0.03889163,SOFTWARE
TECHM,1266.9,5/2/2024 5:30,1274.35,1253.5,2024-05,1263.2,2124221,0.002690938,0.041687222,SOFTWARE
TECHM,1250.45,5/3/2024 5:30,1272.0,1243.05,2024-05,1270.0,2322455,-0.01298445,0.028161487,SOFTWARE
TECHM,1262.25,5/6/2024 5:30,1265.7,1245.1,2024-05,1258.0,1363667,0.009436603,0.037863838,SOFTWARE
TECHM,1292.45,5/7/2024 5:30,1294.8,1256.9,2024-05,1268.0,2350444,0.02392553,0.06269528,SOFTWARE
TECHM,1287.0,5/8/2024 5:30,1300.0,1280.35,2024-05,1294.0,1332284,-0.004216798,0.05821411,SOFTWARE
TECHM,1269.1,5/9/2024 5:30,1285.9,1261.4,2024-05,1282.0,2420777,-0.013908314,0.043496136,SOFTWARE
TECHM,1264.4,5/10/2024 5:30,1273.2,1248.25,2024-05,1266.0,1322206,-0.003703412,0.03963164,SOFTWARE
TECHM,1262.05,5/13/2024 5:30,1266.35,1250.05,2024-05,1264.4,593453,-0.001858589,0.037699392,SOFTWARE
TECHM,1275.5,5/14/2024 5:30,1284.0,1254.1,2024-05,1263.95,1386032,0.010657264,0.048758428,SOFTWARE
TECHM,1274.5,5/15/2024 5:30,1282.95,1265.0,2024-05,1275.0,1008105,-0.000784006,0.047936195,SOFTWARE
TECHM,1307.95,5/16/2024 5:30,1312.6,1281.3,2024-05,1287.0,4868225,0.026245587,0.075439895,SOFTWARE
TECHM,1305.4,5/17/2024 5:30,1320.0,1297.8,2024-05,1309.1,1925387,-0.001949616,0.0733432,SOFTWARE
TECHM,1305.65,5/18/2024 5:30,1312.05,1298.6,2024-05,1305.4,83153,0.000191512,0.073548758,SOFTWARE
TECHM,1323.9,5/21/2024 5:30,1327.0,1304.1,2024-05,1307.0,1453689,0.013977712,0.088554514,SOFTWARE
TECHM,1330.4,5/22/2024 5:30,1335.4,1311.05,2024-05,1330.0,1411627,0.004909736,0.09389903,SOFTWARE
TECHM,1337.5,5/23/2024 5:30,1343.95,1325.1,2024-05,1336.0,1440740,0.005336741,0.099736885,SOFTWARE
TECHM,1321.75,5/24/2024 5:30,1345.0,1318.0,2024-05,1337.5,1288301,-0.011775701,0.086786713,SOFTWARE
TECHM,1329.7,5/27/2024 5:30,1342.8,1318.25,2024-05,1323.0,980450,0.006014753,0.093323467,SOFTWARE
TECHM,1315.1,5/28/2024 5:30,1330.35,1311.3,2024-05,1329.0,1608944,-0.01097992,0.081318862,SOFTWARE
TECHM,1286.45,5/29/2024 5:30,1314.0,1284.1,2024-05,1314.0,1405567,-0.021785416,0.057761881,SOFTWARE
TECHM,1240.85,5/30/2024 5:30,1287.75,1235.35,2024-05,1280.05,2610479,-0.035446383,0.020268048,SOFTWARE
TECHM,1228.45,5/31/2024 5:30,1255.25,1224.05,2024-05,1245.95,4649449,-0.00999315,0.010072357,SOFTWARE
TECHM,1245.35,6/3/2024 5:30,1261.8,1236.55,2024-06,1255.0,1091287,0.013757174,0.023968097,SOFTWARE
TECHM,1239.3,6/4/2024 5:30,1253.7,1193.65,2024-06,1245.35,2471911,-0.004858072,0.018993587,SOFTWARE
TECHM,1266.9,6/5/2024 5:30,1284.95,1236.75,2024-06,1260.0,2709585,0.022270637,0.041687222,SOFTWARE
